ticker,total_profit,return_year_mean,return_year_std,sharpe
AAPL,19483.0,0.09277619047619046,0.15584445513078524,0.5953127456368745
ABBV,4250.0,0.053125000000000006,0.0781283039301379,0.679971243808188
ABT,11067.0,0.052700000000000004,0.04183479982252187,1.2597167961499083
ACN,14082.0,0.07041,0.0577592408191105,1.2190257178155952
ADBE,18146.0,0.08640952380952381,0.15218628905378997,0.5677878365177991
AMGN,11238.0,0.05351428571428571,0.10058793019383723,0.5320149804371299
AMZN,24213.0,0.1153,0.24159284126890213,0.4772492404759074
AVGO,12263.0,0.10219166666666667,0.08956390138083287,1.1409916840506928
AXP,1366.0,0.006504761904761905,0.1254579628940098,0.051848139047637014
BA,9359.0,0.04456666666666668,0.0991954027992625,0.4492815736315355
BAC,8863.0,0.042204761904761905,0.1413866885233896,0.29850590848076886
BKNG,14896.0,0.07093333333333336,0.30521704273287753,0.2324029244835237
BLK,15452.0,0.07358095238095237,0.10786925780798416,0.68213088581672
BMY,2879.0,0.013709523809523812,0.08668216109531532,0.15815853730791138
BRK.B,8873.0,0.04225238095238095,0.04379192814345518,0.9648440418966956
C,-4172.0,-0.019866666666666668,0.1401914722402504,-0.1417109496690395
CAT,13823.0,0.06582380952380952,0.08258672154749648,0.7970265472513468
CB,11667.0,0.05555714285714286,0.1171538978536904,0.47422359712287443
CELG,23081.0,0.11540500000000001,0.18247034409733545,0.6324589377572464
CHTR,9922.0,0.08268333333333332,0.07322675778399283,1.1291409839178714
CMCSA,9256.0,0.04407619047619048,0.06574336037279031,0.6704280132056136
COP,4669.0,0.022233333333333334,0.0981125754443204,0.2266104343163524
COST,9076.0,0.043219047619047615,0.05195203482927781,0.83190288428686
CRM,23948.0,0.1408705882352941,0.08597925717497133,1.638425276792246
CSCO,798.0,0.003799999999999997,0.09516207728071593,0.03993187316403869
CVS,7463.0,0.035538095238095244,0.11226292470374424,0.3165612808670213
CVX,5138.0,0.024466666666666668,0.055106626801686175,0.44398773952750864
DIS,5581.0,0.026576190476190472,0.07016416060287883,0.37877158720117365
FB,7852.0,0.08724444444444443,0.10560011690977442,0.8261775365171876
GE,-8392.0,-0.03996190476190477,0.13526425451224294,-0.29543581122747964
GILD,20564.0,0.09792380952380952,0.09760209748313084,1.0032961590885308
GOOG,5321.0,0.07601428571428571,0.03991288472845503,1.9045049294593577
GOOGL,13779.0,0.08105294117647058,0.09113514927033341,0.8893708061644134
GS,9772.0,0.04653333333333335,0.12040913718426985,0.3864601509611384
HD,8477.0,0.040366666666666676,0.08774279692771603,0.46005675770652044
HON,4502.0,0.021438095238095242,0.08186319875656946,0.2618770774135533
IBM,3057.0,0.01455714285714285,0.07327967672150419,0.19865184329983546
INTC,6623.0,0.03153809523809524,0.08944630991984322,0.35259246878219924
JNJ,9912.0,0.047200000000000006,0.03684933287501055,1.2808915743494718
JPM,9176.0,0.043695238095238086,0.09505924706999704,0.4596632041811043
KO,4876.0,0.023219047619047615,0.057236149241937574,0.40567103004956795
LLY,6312.0,0.030057142857142855,0.0692934173430264,0.4337662076665897
LMT,8676.0,0.04131428571428571,0.06992935404980608,0.5908003337891591
LOW,13988.0,0.06660952380952381,0.10545614707979853,0.6316324430013593
MA,12650.0,0.08433333333333334,0.0847672788023513,0.9948807431930218
MCD,5675.0,0.027023809523809523,0.06174115633422757,0.4376952284067974
MDLZ,4475.0,0.022375000000000003,0.05330344149302182,0.419766517381982
MDT,5212.0,0.02481904761904762,0.0706498786373616,0.3512963942435228
MMM,5114.0,0.024352380952380962,0.06400243759530248,0.38049146044038057
MO,4623.0,0.022014285714285715,0.11955448363747435,0.18413601100097376
MRK,3383.0,0.01610952380952381,0.10481722370625703,0.15369157128860453
MS,4884.0,0.023257142857142858,0.17007721935702524,0.1367446089785933
MSFT,5754.0,0.027399999999999997,0.10978601697761661,0.24957641013232462
MU,14629.0,0.06966190476190476,0.24971368647997547,0.27896710726542795
NEE,9932.0,0.0472952380952381,0.04727965913371683,1.0003295066378801
NFLX,29742.0,0.15653684210526317,0.24222951971551002,0.646233548615834
NKE,12517.0,0.05960476190476192,0.056480991123356215,1.0553065857959767
NVDA,25068.0,0.11937142857142857,0.3005771609085826,0.39714071491857006
ORCL,10666.0,0.05079047619047619,0.08040727818728556,0.6316651593674696
PEP,7185.0,0.034214285714285704,0.04804104679199599,0.7121885970225377
PFE,3570.0,0.017,0.07807210342582896,0.2177474315925221
PG,3409.0,0.016233333333333332,0.04663391707997755,0.34810143238649743
PM,3761.0,0.02893076923076923,0.06231485049100235,0.46426765053294233
PNC,7341.0,0.03495714285714286,0.0798596481419781,0.4377322423834684
PYPL,6915.0,0.11525,0.03537073884818731,3.258343018919051
QCOM,5547.0,0.026414285714285717,0.09734935754778244,0.27133497723722183
SBUX,11895.0,0.05664285714285714,0.14868354240571793,0.3809625209782386
SCHW,7955.0,0.03788095238095238,0.16674546790170833,0.22717830270074937
SLB,621.0,0.002957142857142858,0.15178254674566058,0.01948275951712743
T,1434.0,0.0068285714285714295,0.06680539002247066,0.10221587548960603
TMO,13617.0,0.06484285714285715,0.08253660412452261,0.7856254546774061
TWX,3258.0,0.017147368421052633,0.10165946958465151,0.1686745808443755
TXN,12676.0,0.060361904761904776,0.1130436471801952,0.5339698980667703
UNH,16475.0,0.07845238095238095,0.08476951169718205,0.9254787409019475
