year,return_year,year_profit,ticker
2000,-0.7821,-7821.0,AAPL
2001,0.4849,4849.0,AAPL
2002,-0.0759,-759.0,AAPL
2003,0.0918,918.0,AAPL
2004,0.5479,5479.0,AAPL
2005,0.304,3040.0,AAPL
2006,-0.0602,-602.0,AAPL
2007,0.5317,5317.0,AAPL
2008,-0.3086,-3086.0,AAPL
2009,0.4659,4659.0,AAPL
2010,0.3454,3454.0,AAPL
2011,0.2001,2001.0,AAPL
2012,0.1853,1853.0,AAPL
2013,-0.1365,-1365.0,AAPL
2014,0.2186,2186.0,AAPL
2015,-0.085,-850.0,AAPL
2016,-0.0308,-308.0,AAPL
2017,0.1564,1564.0,AAPL
2018,0.0007,7.0,AAPL
2019,0.2901,2901.0,AAPL
2020,-0.1318,-1318.0,AAPL
2013,0.188,1880.0,ABBV
2014,0.2769,2769.0,ABBV
2015,0.0303,303.0,ABBV
2016,0.0108,108.0,ABBV
2017,0.2045,2045.0,ABBV
2018,0.0314,314.0,ABBV
2019,-0.0205,-205.0,ABBV
2020,-0.0017,-17.0,ABBV
2000,0.4068,4068.0,ABT
2001,0.0857,857.0,ABT
2002,-0.0609,-609.0,ABT
2003,0.051,510.0,ABT
2004,-0.0344,-344.0,ABT
2005,-0.088,-880.0,ABT
2006,0.0767,767.0,ABT
2007,0.1662,1662.0,ABT
2008,0.0712,712.0,ABT
2009,-0.0316,-316.0,ABT
2010,-0.1196,-1196.0,ABT
2011,0.1675,1675.0,ABT
2012,0.0839,839.0,ABT
2013,0.1295,1295.0,ABT
2014,0.1234,1234.0,ABT
2015,-0.0072,-72.0,ABT
2016,0.0158,158.0,ABT
2017,0.1374,1374.0,ABT
2018,0.139,1390.0,ABT
2019,0.144,1440.0,ABT
2020,0.1062,1062.0,ABT
2001,0.1687,1687.0,ACN
2002,-0.2439,-2439.0,ACN
2003,0.3387,3387.0,ACN
2004,0.2185,2185.0,ACN
2005,0.0061,61.0,ACN
2006,0.0486,486.0,ACN
2007,0.0097,97.0,ACN
2008,-0.1409,-1409.0,ACN
2009,0.1263,1263.0,ACN
2010,0.036,360.0,ACN
2011,0.0636,636.0,ACN
2012,0.2139,2139.0,ACN
2013,0.1003,1003.0,ACN
2014,0.0522,522.0,ACN
2015,0.1027,1027.0,ACN
2016,0.1107,1107.0,ACN
2017,0.0808,808.0,ACN
2018,0.0313,313.0,ACN
2019,0.144,1440.0,ACN
2020,-0.0723,-723.0,ACN
2000,0.6936,6936.0,ADBE
2001,0.1526,1526.0,ADBE
2002,0.0076,76.0,ADBE
2003,0.2422,2422.0,ADBE
2004,0.1488,1488.0,ADBE
2005,0.3628,3628.0,ADBE
2006,0.0941,941.0,ADBE
2007,0.168,1680.0,ADBE
2008,-0.1295,-1295.0,ADBE
2009,0.2703,2703.0,ADBE
2010,-0.0371,-371.0,ADBE
2011,0.0769,769.0,ADBE
2012,0.2476,2476.0,ADBE
2013,0.1747,1747.0,ADBE
2014,0.1594,1594.0,ADBE
2015,0.1715,1715.0,ADBE
2016,0.0143,143.0,ADBE
2017,0.2228,2228.0,ADBE
2018,0.0079,79.0,ADBE
2019,0.1962,1962.0,ADBE
2020,0.0281,281.0,ADBE
2000,0.1454,1454.0,AMGN
2001,0.2166,2166.0,AMGN
2002,0.2619,2619.0,AMGN
2003,0.0489,489.0,AMGN
2004,0.001,10.0,AMGN
2005,0.1784,1784.0,AMGN
2006,-0.0823,-823.0,AMGN
2007,-0.147,-1470.0,AMGN
2008,0.0624,624.0,AMGN
2009,0.0317,317.0,AMGN
2010,0.0135,135.0,AMGN
2011,0.1301,1301.0,AMGN
2012,0.1124,1124.0,AMGN
2013,0.168,1680.0,AMGN
2014,0.2484,2484.0,AMGN
2015,0.0713,713.0,AMGN
2016,0.0727,727.0,AMGN
2017,0.0842,842.0,AMGN
2018,0.2094,2094.0,AMGN
2019,0.0872,872.0,AMGN
2020,-0.0706,-706.0,AMGN
2000,-0.5047,-5047.0,AMZN
2001,-0.2961,-2961.0,AMZN
2002,0.2048,2048.0,AMZN
2003,0.5196,5196.0,AMZN
2004,-0.085,-850.0,AMZN
2005,0.1822,1822.0,AMZN
2006,-0.2517,-2517.0,AMZN
2007,0.4274,4274.0,AMZN
2008,-0.3199,-3199.0,AMZN
2009,0.5672,5672.0,AMZN
2010,0.0662,662.0,AMZN
2011,0.0198,198.0,AMZN
2012,0.3176,3176.0,AMZN
2013,0.2691,2691.0,AMZN
2014,-0.1567,-1567.0,AMZN
2015,0.2734,2734.0,AMZN
2016,0.0725,725.0,AMZN
2017,0.2571,2571.0,AMZN
2018,0.0858,858.0,AMZN
2019,0.1568,1568.0,AMZN
2020,0.0376,376.0,AMZN
2009,0.0253,253.0,AVGO
2010,0.1792,1792.0,AVGO
2011,-0.0324,-324.0,AVGO
2012,0.0065,65.0,AVGO
2013,0.2871,2871.0,AVGO
2014,0.3765,3765.0,AVGO
2015,0.2471,2471.0,AVGO
2016,0.1855,1855.0,AVGO
2017,0.1699,1699.0,AVGO
2018,0.1673,1673.0,AVGO
2019,0.2333,2333.0,AVGO
2020,-0.0727,-727.0,AVGO
2000,0.2332,2332.0,AXP
2001,-0.0612,-612.0,AXP
2002,0.2025,2025.0,AXP
2003,0.0615,615.0,AXP
2004,0.0952,952.0,AXP
2005,0.0376,376.0,AXP
2006,0.1207,1207.0,AXP
2007,-0.061,-610.0,AXP
2008,-0.4817,-4817.0,AXP
2009,0.5147,5147.0,AXP
2010,0.0607,607.0,AXP
2011,0.1186,1186.0,AXP
2012,0.1163,1163.0,AXP
2013,0.2074,2074.0,AXP
2014,0.1181,1181.0,AXP
2015,-0.1438,-1438.0,AXP
2016,0.1364,1364.0,AXP
2017,0.0668,668.0,AXP
2018,0.0457,457.0,AXP
2019,0.1487,1487.0,AXP
