year,return_year,year_profit,ticker
2014,0.0847,847.0,CHTR
2015,0.0335,335.0,CHTR
2016,0.1437,1437.0,CHTR
2017,0.0879,879.0,CHTR
2018,-0.1038,-1038.0,CHTR
2019,0.1519,1519.0,CHTR
2020,0.0608,608.0,CHTR
2000,0.016,160.0,CMCSA
2001,0.0487,487.0,CMCSA
2002,-0.0273,-273.0,CMCSA
2003,0.1511,1511.0,CMCSA
2004,0.0167,167.0,CMCSA
2005,0.0,0.0,CMCSA
2006,0.0929,929.0,CMCSA
2007,-0.131,-1310.0,CMCSA
2008,0.0378,378.0,CMCSA
2009,0.0888,888.0,CMCSA
2010,0.1031,1031.0,CMCSA
2011,0.0508,508.0,CMCSA
2012,0.1277,1277.0,CMCSA
2013,0.0773,773.0,CMCSA
2014,0.0434,434.0,CMCSA
2015,0.0157,157.0,CMCSA
2016,0.0305,305.0,CMCSA
2017,0.0804,804.0,CMCSA
2018,0.1118,1118.0,CMCSA
2019,0.0744,744.0,CMCSA
2020,-0.0832,-832.0,CMCSA
2000,0.1772,1772.0,COP
2001,0.0429,429.0,COP
2002,-0.118,-1180.0,COP
2003,0.0617,617.0,COP
2004,0.0851,851.0,COP
2005,0.1205,1205.0,COP
2006,0.1365,1365.0,COP
2007,0.0509,509.0,COP
2008,-0.0165,-165.0,COP
2009,0.0022,22.0,COP
2010,0.0551,551.0,COP
2011,0.0483,483.0,COP
2012,0.0,0.0,COP
2013,0.089,890.0,COP
2014,0.0421,421.0,COP
2015,-0.0212,-212.0,COP
2016,-0.0153,-153.0,COP
2017,0.0287,287.0,COP
2018,0.0893,893.0,COP
2019,-0.1034,-1034.0,COP
2020,-0.2882,-2882.0,COP
2000,0.1067,1067.0,COST
2001,0.0474,474.0,COST
2002,-0.1028,-1028.0,COST
2003,0.0806,806.0,COST
2004,0.0758,758.0,COST
2005,0.0482,482.0,COST
2006,0.0294,294.0,COST
2007,0.0709,709.0,COST
2008,0.0789,789.0,COST
2009,-0.0826,-826.0,COST
2010,0.0426,426.0,COST
2011,0.0995,995.0,COST
2012,0.0461,461.0,COST
2013,0.0448,448.0,COST
2014,0.0385,385.0,COST
2015,0.0281,281.0,COST
2016,0.0,0.0,COST
2017,0.0845,845.0,COST
2018,0.0657,657.0,COST
2019,0.0919,919.0,COST
2020,0.0134,134.0,COST
2004,0.0611,611.0,CRM
2005,0.2934,2934.0,CRM
2006,0.0401,401.0,CRM
2007,0.2414,2414.0,CRM
2008,0.0476,476.0,CRM
2009,0.2867,2867.0,CRM
2010,0.2746,2746.0,CRM
2011,0.1794,1794.0,CRM
2012,0.1429,1429.0,CRM
2013,0.1289,1289.0,CRM
2014,0.0694,694.0,CRM
2015,0.0562,562.0,CRM
2016,0.1937,1937.0,CRM
2017,0.1063,1063.0,CRM
2018,0.0998,998.0,CRM
2019,0.0515,515.0,CRM
2020,0.1218,1218.0,CRM
2000,-0.2234,-2234.0,CSCO
2001,0.0282,282.0,CSCO
2002,-0.0941,-941.0,CSCO
2003,0.1763,1763.0,CSCO
2004,-0.1338,-1338.0,CSCO
2005,0.0,0.0,CSCO
2006,0.1275,1275.0,CSCO
2007,0.0477,477.0,CSCO
2008,-0.1312,-1312.0,CSCO
2009,-0.0251,-251.0,CSCO
2010,0.0313,313.0,CSCO
2011,-0.1003,-1003.0,CSCO
2012,0.0666,666.0,CSCO
2013,0.0668,668.0,CSCO
2014,0.0643,643.0,CSCO
2015,0.0513,513.0,CSCO
2016,0.0626,626.0,CSCO
2017,0.0515,515.0,CSCO
2018,0.0586,586.0,CSCO
2019,0.0401,401.0,CSCO
2020,-0.0851,-851.0,CSCO
2000,0.2397,2397.0,CVS
2001,-0.2868,-2868.0,CVS
2002,0.1418,1418.0,CVS
2003,0.0818,818.0,CVS
2004,0.0695,695.0,CVS
2005,0.0632,632.0,CVS
2006,0.0895,895.0,CVS
2007,0.084,840.0,CVS
2008,-0.1455,-1455.0,CVS
2009,0.0906,906.0,CVS
2010,0.051,510.0,CVS
2011,0.1023,1023.0,CVS
2012,0.0482,482.0,CVS
2013,0.1008,1008.0,CVS
2014,0.0801,801.0,CVS
2015,0.0403,403.0,CVS
2016,0.0,0.0,CVS
2017,-0.1635,-1635.0,CVS
2018,0.0482,482.0,CVS
2019,-0.0604,-604.0,CVS
2020,0.0715,715.0,CVS
2000,0.0638,638.0,CVX
2001,0.0557,557.0,CVX
2002,0.0,0.0,CVX
2003,-0.0815,-815.0,CVX
2004,0.0692,692.0,CVX
2005,0.0791,791.0,CVX
2006,0.0766,766.0,CVX
2007,0.0614,614.0,CVX
2008,-0.0806,-806.0,CVX
2009,0.051,510.0,CVX
2010,0.0274,274.0,CVX
2011,0.0958,958.0,CVX
2012,0.0132,132.0,CVX
2013,0.0271,271.0,CVX
2014,0.0131,131.0,CVX
2015,-0.0861,-861.0,CVX
2016,0.1003,1003.0,CVX
2017,0.015,150.0,CVX
2018,0.0511,511.0,CVX
2019,0.0,0.0,CVX
2020,-0.0378,-378.0,CVX
2000,-0.0641,-641.0,DIS
2001,-0.0939,-939.0,DIS
2002,0.0012,12.0,DIS
2003,0.0848,848.0,DIS
2004,0.0975,975.0,DIS
2005,0.0157,157.0,DIS
2006,0.0831,831.0,DIS
2007,0.0128,128.0,DIS
2008,-0.0674,-674.0,DIS
2009,0.0277,277.0,DIS
