ticker,total_profit,return_year_mean,return_year_std,sharpe
AAPL,22119.0,0.10532857142857142,0.30964773555776964,0.34015611720474126
ABBV,7197.0,0.0899625,0.10696709701468951,0.8410296484688716
ABT,15626.0,0.07440952380952381,0.11196981270376449,0.6645498640458306
ACN,13950.0,0.06974999999999999,0.12481102715705851,0.5588448520035706
ADBE,32728.0,0.15584761904761904,0.16573529272981005,0.9403405664579216
AMGN,18436.0,0.0877904761904762,0.10597872160536084,0.8283783278438357
AMZN,18430.0,0.08776190476190478,0.27474286242505874,0.31943288348698584
AVGO,17726.0,0.14771666666666666,0.13172540145654857,1.121398492874535
AXP,15865.0,0.07554761904761906,0.17828167819505558,0.4237542512078186
BA,13406.0,0.06383809523809525,0.1759536450756832,0.3628120077344034
BAC,9861.0,0.04695714285714284,0.16535308130361115,0.28398105730441775
BKNG,31893.0,0.15187142857142857,0.3758532010073654,0.4040711324644337
BLK,29322.0,0.13962857142857144,0.1607643858418339,0.8685292497925712
BMY,4039.0,0.01923333333333333,0.15394219488197303,0.12493867161033702
BRK.B,11782.0,0.0561047619047619,0.07855152071026818,0.7142415754330258
C,-1767.0,-0.00841428571428571,0.22458537518792115,-0.0374658666319883
CAT,14165.0,0.06745238095238097,0.12248832643716986,0.5506841583551273
CB,21266.0,0.10126666666666669,0.23145337560589835,0.43752512315523995
CELG,37559.0,0.18779500000000005,0.2354458589039102,0.7976143682214545
CHTR,10738.0,0.08948333333333335,0.10816081263049426,0.8273175021255795
CMCSA,8299.0,0.03951904761904761,0.1268820022474861,0.31146298859600946
COP,14994.0,0.0714,0.1233692444501079,0.5787504034595516
COST,10272.0,0.04891428571428571,0.12195983056772765,0.40106882312469483
CRM,30610.0,0.18005882352941177,0.23684686554029585,0.76023308612787
CSCO,15545.0,0.07402380952380953,0.14035903928602908,0.527388972597347
CVS,9829.0,0.0468047619047619,0.16162457520642584,0.28958938852574345
CVX,10009.0,0.047661904761904766,0.09758647191662267,0.4884068849484263
DIS,8130.0,0.038714285714285715,0.10981276396326477,0.35254814028027426
FB,7418.0,0.08242222222222223,0.19006387685183793,0.43365537727336534
GE,-1230.0,-0.005857142857142862,0.210613992596767,-0.02780984674820115
GILD,26384.0,0.12563809523809524,0.1740184787018471,0.721981344598214
GOOG,9983.0,0.14261428571428572,0.10557887273193883,1.3507843190974254
GOOGL,17656.0,0.10385882352941175,0.16762900934828226,0.6195754776169118
GS,13280.0,0.06323809523809522,0.1964827327350639,0.3218506499671148
HD,9008.0,0.0428952380952381,0.16557746130319181,0.25906447506579333
HON,6350.0,0.030238095238095238,0.12789530493705903,0.23642850105386023
IBM,4441.0,0.021147619047619047,0.11552093448312681,0.1830630884543953
INTC,22695.0,0.10807142857142858,0.17891846278830648,0.6040261406632864
JNJ,9795.0,0.04664285714285713,0.04772549055776788,0.9773154052004911
JPM,6261.0,0.029814285714285713,0.14394239683096216,0.20712650595430845
KO,8752.0,0.04167619047619048,0.08633246315848597,0.4827406626830843
LLY,7571.0,0.03605238095238095,0.10001999142575076,0.36045175007982494
LMT,14400.0,0.06857142857142857,0.10751570491198524,0.637780579381986
LOW,17246.0,0.08212380952380953,0.14917975065180644,0.5505023916784183
MA,21499.0,0.1433266666666667,0.17973821877633286,0.7974189776801067
MCD,17371.0,0.08271904761904761,0.08033486237853829,1.0296780895606072
MDLZ,11164.0,0.05582,0.08172051517214023,0.6830598153036349
MDT,8305.0,0.03954761904761904,0.09999205025090087,0.3955076323406294
MMM,8793.0,0.041871428571428566,0.10119042935573146,0.4137884268109092
MO,9435.0,0.04492857142857144,0.15677250166694273,0.286584515465732
MRK,8125.0,0.03869047619047619,0.1612039167217717,0.2400095294040134
MS,4402.0,0.020961904761904765,0.19504234088840564,0.1074736114549518
MSFT,8101.0,0.03857619047619048,0.15204985994500964,0.2537075041709473
MU,20909.0,0.09956666666666669,0.34554247390131543,0.28814595653761005
NEE,14700.0,0.07000000000000002,0.08472517475989788,0.8262007154115948
NFLX,52539.0,0.27652105263157895,0.3740681215457777,0.739226458242149
NKE,23240.0,0.11066666666666668,0.12686164692418847,0.8723413998621681
NVDA,35182.0,0.1675333333333333,0.3793606593220623,0.4416202081489533
ORCL,11016.0,0.05245714285714286,0.11218097865854582,0.46761174206556755
PEP,6780.0,0.032285714285714286,0.053704945996526206,0.6011683595734855
PFE,4227.0,0.020128571428571433,0.08374749544432525,0.2403483390372285
PG,7689.0,0.036614285714285724,0.05867500713749453,0.62401842795667
PM,4104.0,0.03156923076923078,0.045845734381147675,0.6885969042784585
PNC,8685.0,0.041357142857142856,0.14102725697851587,0.2932563799595366
PYPL,6426.0,0.10709999999999999,0.09409433209993752,1.1382194613619145
QCOM,14273.0,0.06796666666666666,0.11878516154459111,0.5721814558559358
SBUX,22414.0,0.10673333333333336,0.19992786397511178,0.5338592190762372
SCHW,7813.0,0.0372047619047619,0.19020398943337619,0.19560452972409298
SLB,10414.0,0.049590476190476185,0.1846426584997857,0.26857540177008304
T,8951.0,0.04262380952380953,0.09541385995337268,0.44672555480555076
TMO,19671.0,0.09367142857142857,0.18494516341171985,0.5064821747346796
TWX,7765.0,0.04086842105263158,0.22647316107428847,0.18045591300430425
TXN,9958.0,0.047419047619047625,0.19985940681972184,0.23726202520865475
UNH,19678.0,0.0937047619047619,0.193795465267577,0.4835240173209523
UNP,17994.0,0.08568571428571428,0.13943499350939845,0.6145208754926986
UPS,1073.0,0.0051095238095238095,0.07335574703854338,0.06965403551597815
USB,13407.0,0.06384285714285715,0.08116032675794117,0.7866264182655032
